item_#,strUC,common_name,scientific_name,doi,url,editors,reviewer,start_date,end_date,publication_date
59f5e243e4b063d5d307dd95,aCPSAx,Cumberland Plateau Salamander,Plethodon kentucki,https://doi.org/10.5066/F7BC3XKF,https://www.sciencebase.gov/catalog/item/59f5e243e4b063d5d307dd95,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5e1dae4b063d5d307db37,aCRFRx,Carpenter Frog,Lithobates virgatipes,https://doi.org/10.5066/F7B27T8K,https://www.sciencebase.gov/catalog/item/59f5e1dae4b063d5d307db37,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5e242e4b063d5d307dd8d,aCRLFx,California Red-legged Frog,Rana draytonii,https://doi.org/10.5066/F76972KP,https://www.sciencebase.gov/catalog/item/59f5e242e4b063d5d307dd8d,['Matthew Rubino'],Jeff Lonneker,2008,2013,2018-07
59f5e2a0e4b063d5d307dfaf,aCSFRx,Cascades Frog,Rana cascadae,https://doi.org/10.5066/F7K64H4G,https://www.sciencebase.gov/catalog/item/59f5e2a0e4b063d5d307dfaf,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ec5ce4b063d5d307e675,aCSLSx,California Slender Salamander,Batrachoseps attenuatus,https://doi.org/10.5066/F76M35WJ,https://www.sciencebase.gov/catalog/item/59f5ec5ce4b063d5d307e675,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ec5ce4b063d5d307e677,aCSMSx,Chattahoochee Slimy Salamander,Plethodon chattahoochee,https://doi.org/10.5066/F72V2F57,https://www.sciencebase.gov/catalog/item/59f5ec5ce4b063d5d307e677,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5ec3ae4b063d5d307e52b,aCTFRx,Coastal Tailed Frog,Ascaphus truei,https://doi.org/10.5066/F7FF3RF6,https://www.sciencebase.gov/catalog/item/59f5ec3ae4b063d5d307e52b,"['Ken Boykin', 'Ken Boykin']",Jeff Lonneker,2008,2015,2018-07
59f5ebe6e4b063d5d307e259,aCTGSx,California Tiger Salamander,Ambystoma californiense,https://doi.org/10.5066/F72N51DG,https://www.sciencebase.gov/catalog/item/59f5ebe6e4b063d5d307e259,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ebaee4b063d5d307e09d,aCTOSx,Columbia Torrent Salamander,Rhyacotriton kezeri,https://doi.org/10.5066/F7KD1X2G,https://www.sciencebase.gov/catalog/item/59f5ebaee4b063d5d307e09d,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5e1e0e4b063d5d307db59,aCTRSx,Cascade Torrent Salamander,Rhyacotriton cascadae,https://doi.org/10.5066/F7H70DVV,https://www.sciencebase.gov/catalog/item/59f5e1e0e4b063d5d307db59,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5e1ece4b063d5d307db97,aCUDSx,Cumberland Dusky Salamander,Desmognathus abditus,https://doi.org/10.5066/F7D21WQK,https://www.sciencebase.gov/catalog/item/59f5e1ece4b063d5d307db97,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ec13e4b063d5d307e3e5,aCUTRx,Cuban Treefrog,Osteopilus septentrionalis,https://doi.org/10.5066/F7FN15CK,https://www.sciencebase.gov/catalog/item/59f5ec13e4b063d5d307e3e5,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5e292e4b063d5d307df67,aCVSAx,Cave Salamander,Eurycea lucifuga,https://doi.org/10.5066/F79K49B0,https://www.sciencebase.gov/catalog/item/59f5e292e4b063d5d307df67,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ebd8e4b063d5d307e1e1,aCWFRx,Crawfish Frog,Lithobates areolatus,https://doi.org/10.5066/F7BZ655Z,https://www.sciencebase.gov/catalog/item/59f5ebd8e4b063d5d307e1e1,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e29fe4b063d5d307dfab,aCYTRx,Canyon Treefrog,Hyla arenicolor,https://doi.org/10.5066/F75T3JM8,https://www.sciencebase.gov/catalog/item/59f5e29fe4b063d5d307dfab,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5ec6ee4b063d5d307e707,aDASAx,Dark-sided Salamander,Eurycea aquatica,https://doi.org/10.5066/F76972QG,https://www.sciencebase.gov/catalog/item/59f5ec6ee4b063d5d307e707,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ec41e4b063d5d307e573,aDBBSx,Dwarf Black-bellied Salamander,Desmognathus folkertsi,https://doi.org/10.5066/F7765DFJ,https://www.sciencebase.gov/catalog/item/59f5ec41e4b063d5d307e573,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5e1f1e4b063d5d307dbb1,aDGFRx,Dusky Gopher Frog,Lithobates sevosus,https://doi.org/10.5066/F7QV3KJ3,https://www.sciencebase.gov/catalog/item/59f5e1f1e4b063d5d307dbb1,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5ec1de4b063d5d307e449,aDNSAx,Del Norte Salamander,Plethodon elongatus,https://doi.org/10.5066/F73F4NQT,https://www.sciencebase.gov/catalog/item/59f5ec1de4b063d5d307e449,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ebebe4b063d5d307e283,aDUSAx,Dunn's Salamander,Plethodon dunni,https://doi.org/10.5066/F7B56HV4,https://www.sciencebase.gov/catalog/item/59f5ebebe4b063d5d307e283,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ebffe4b063d5d307e33b,aDWSAx,Dwarf Salamander,Eurycea quadridigitata,https://doi.org/10.5066/F76Q1W70,https://www.sciencebase.gov/catalog/item/59f5ebffe4b063d5d307e33b,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5e1bde4b063d5d307daa5,aDWWAx,Dwarf Waterdog,Necturus punctatus,https://doi.org/10.5066/F7FQ9VK8,https://www.sciencebase.gov/catalog/item/59f5e1bde4b063d5d307daa5,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5e234e4b063d5d307dd37,aEANEx,Eastern Newt,Notophthalmus viridescens,https://doi.org/10.5066/F7ZP456G,https://www.sciencebase.gov/catalog/item/59f5e234e4b063d5d307dd37,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ec1de4b063d5d307e447,aEASPx,Eastern Spadefoot,Scaphiopus holbrookii,https://doi.org/10.5066/F77080HJ,https://www.sciencebase.gov/catalog/item/59f5ec1de4b063d5d307e447,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
